Element Type: DimNode 0, GUID: 8C17BCB1-3B85-40B6-A9CF-59D1E73910C0, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-90.31, -24.85, 0.00), (-90.29, -24.84, 0.00)], Position: (-90.30, -24.85), Info String: Dim Node 0
Element Type: Wall, GUID: C3F869BE-88F2-434E-92CE-D6F9D55738DE, Length: 6.35, Width: 0.24, Height: 3.20, Info String: SW - 011, Wall Bounding Box: [(-53.74, -27.30, 0.20), (-53.50, -20.95, 3.40)], Label Type: 1
Element Type: Wall, GUID: DFCE1CF7-12DA-46B4-8E89-55A987A5F892, Length: 6.00, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-62.90, -25.88, 0.20), (-56.90, -25.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: 9A129D0A-FA16-4D24-88AE-0D9064AA5FAB, Length: 6.44, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-56.84, -27.38, 0.20), (-50.40, -27.08, 3.40)], Label Type: 0
Element Type: Wall, GUID: 00F2E061-C5E6-4E20-A7D9-CB8023041044, Length: 5.95, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-50.35, -25.88, 0.20), (-44.40, -25.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: F0E5BF9F-3C73-4B54-9F64-A88531FA71AC, Length: 1.50, Width: 0.30, Height: 3.20, Info String: SW - 053, Wall Bounding Box: [(-56.92, -27.30, 0.20), (-56.62, -25.80, 3.40)], Label Type: 1
Element Type: Wall, GUID: 2997DCBD-9FEA-4182-AEBF-629C0958D7B4, Length: 1.50, Width: 0.30, Height: 3.20, Info String: SW - 053, Wall Bounding Box: [(-50.62, -27.30, 0.20), (-50.32, -25.80, 3.40)], Label Type: 1
Element Type: Wall, GUID: A5DBB9F3-4E20-40C0-BC77-5D81C436298E, Length: 5.85, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-69.20, -27.55, 0.04), (-63.35, -27.46, 1.30)], Label Type: 0
Element Type: Wall, GUID: 836E32F0-E045-46A1-AF97-E20FBA0C0FEE, Length: 5.95, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-82.00, -27.55, 0.04), (-76.05, -27.46, 1.30)], Label Type: 1
Element Type: Wall, GUID: 71A7A955-38DE-4171-BA66-74B94FFA7EEA, Length: 7.85, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-90.30, -27.55, 0.04), (-82.45, -27.46, 1.30)], Label Type: 0
Element Type: Wall, GUID: 385E74D5-CCAA-4B0D-AF25-66ED1DFA001E, Length: 5.95, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-75.60, -27.55, 0.04), (-69.65, -27.46, 1.30)], Label Type: 1
Element Type: Wall, GUID: E8BA71A6-888F-4F08-AAF9-6C135B27D14D, Length: 5.98, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-62.90, -27.55, 0.04), (-56.92, -27.46, 1.30)], Label Type: 1
Element Type: Wall, GUID: 7E6EC0CD-C84F-4B1A-959C-5B595680F776, Length: 5.70, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-56.47, -27.55, 0.04), (-50.77, -27.46, 1.30)], Label Type: 0
Element Type: Wall, GUID: 182457C1-A7DD-46C3-B400-73B90762D3A0, Length: 5.70, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-50.32, -27.55, 0.04), (-44.62, -27.46, 1.30)], Label Type: 1
Element Type: Wall, GUID: 77AA4A99-CD3D-4018-B1F2-1DB3D07B7665, Length: 6.75, Width: 0.10, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-89.60, -25.80, 0.20), (-89.50, -19.05, 3.40)], Label Type: 1
Element Type: Wall, GUID: 81C4C5B9-9A9D-4491-A098-6AC842BC4978, Length: 1.00, Width: 0.10, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-89.60, -25.80, 0.20), (-88.60, -25.70, 3.40)], Label Type: 1
Element Type: Wall, GUID: 6898D098-FA35-4B71-930C-3EEE4C2C34D4, Length: 5.35, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-87.55, -25.88, 0.20), (-82.20, -25.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 08388E86-1FE4-4615-BBDE-A1F9542E357F, Length: 6.55, Width: 0.24, Height: 3.20, Info String: SW - 011, Wall Bounding Box: [(-44.52, -27.50, 0.20), (-44.28, -20.95, 3.40)], Label Type: 1
Element Type: Wall, GUID: F6743B4C-EC80-4F90-BA4A-A44362464A0A, Length: 33.00, Width: 0.15, Height: 0.40, Info String: SW - 029, Wall Bounding Box: [(-60.90, -15.75, 0.00), (-27.90, -15.60, 0.40)], Label Type: 1
Element Type: Wall, GUID: FB1DADEE-49F0-4F73-A661-CAB9C3DB30DD, Length: 5.50, Width: 0.15, Height: 0.40, Info String: SW - 030, Wall Bounding Box: [(-61.05, -15.60, 0.00), (-60.90, -10.10, 0.40)], Label Type: 0
Element Type: Wall, GUID: 113F86EE-1D1A-4931-AC5B-00DC0D04B480, Length: 33.00, Width: 0.15, Height: 0.40, Info String: SW - 031, Wall Bounding Box: [(-60.90, -10.10, 0.00), (-27.90, -9.95, 0.40)], Label Type: 1
Element Type: Wall, GUID: 5A572293-9BB6-4A5C-A485-C8EC002C1DDC, Length: 5.50, Width: 0.15, Height: 0.40, Info String: SW - 032, Wall Bounding Box: [(-27.90, -15.60, 0.00), (-27.75, -10.10, 0.40)], Label Type: 0
Element Type: Wall, GUID: 356FB364-A848-4DC1-AD71-05930771348B, Length: 1.88, Width: 0.37, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -13.84, 0.20), (-62.85, -11.96, 3.40)], Label Type: 0
Element Type: Wall, GUID: B2BA068A-7979-4F5D-B62C-8E7AC5194497, Length: 1.44, Width: 0.37, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -17.00, 0.20), (-62.85, -15.56, 3.40)], Label Type: 0
Element Type: Wall, GUID: D3526E29-6AFB-4373-BECF-FF4D79D0F917, Length: 1.78, Width: 0.37, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -10.24, 0.20), (-62.85, -8.46, 3.40)], Label Type: 0
Element Type: Wall, GUID: 151BD13B-11C2-466A-8148-854FFB02F508, Length: 0.92, Width: 0.32, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -8.46, 0.20), (-62.90, -7.54, 3.40)], Label Type: 0
Element Type: Wall, GUID: 38620FD0-3C90-4284-BCC6-B4E3C40C6B70, Length: 1.72, Width: 0.32, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -15.56, 0.20), (-62.90, -13.84, 3.40)], Label Type: 0
Element Type: Wall, GUID: BB4C9F4D-85B0-4DCC-9E75-83627E8FD05A, Length: 1.72, Width: 0.32, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -11.96, 0.20), (-62.90, -10.24, 3.40)], Label Type: 0
Element Type: Wall, GUID: A860E69C-64F0-43C5-8E82-303DB73EA4F8, Length: 0.24, Width: 0.37, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -7.54, 0.20), (-62.85, -7.30, 3.40)], Label Type: 0
Element Type: Wall, GUID: 10E9DDF3-6945-4EA2-9EA2-B6CE69195E80, Length: 1.21, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-1.24, -25.88, 0.20), (-0.03, -25.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 87B951B7-16BA-4434-9276-55C30DBDFC0C, Length: 1.20, Width: 0.30, Height: 3.20, Info String: SW - 007, Wall Bounding Box: [(-88.75, -25.88, 0.20), (-87.55, -25.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: DD1E90DC-46CC-403F-BA9F-E6402BB8059D, Length: 4.85, Width: 0.24, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-26.12, -25.80, 0.20), (-25.88, -20.95, 3.40)], Label Type: 1
Element Type: Wall, GUID: 401B944C-D6C2-47BC-AE60-7FE1F0B4E63F, Length: 8.45, Width: 0.09, Height: 1.26, Info String: SW - 088, Wall Bounding Box: [(-90.35, -27.50, 0.04), (-90.26, -19.05, 1.30)], Label Type: 1
Element Type: Wall, GUID: 5C02E0F3-0B45-454C-85CA-28B45CA550C7, Length: 4.85, Width: 0.24, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-62.92, -25.80, 0.20), (-62.68, -20.95, 3.40)], Label Type: 1
Element Type: Wall, GUID: 215FC7A0-62FA-4485-B4CF-5CB893A1FDEC, Length: 1.00, Width: 0.14, Height: 3.20, Info String: SW - 070, Wall Bounding Box: [(-89.60, -19.12, 0.20), (-88.60, -18.98, 3.40)], Label Type: 0
Element Type: Wall, GUID: 28A5CC7D-AFD3-4310-A593-12E581D0AEDC, Length: 2.00, Width: 0.32, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-21.50, -17.22, 0.20), (-19.50, -16.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: 88A7EC97-789D-4D40-AE53-AE8FA7DD6B73, Length: 4.05, Width: 0.37, Height: 3.20, Info String: SW - 019, Wall Bounding Box: [(-25.80, -7.45, 0.20), (-21.75, -7.08, 3.40)], Label Type: 1
Element Type: Wall, GUID: AEF35834-0D46-48BB-8D0B-9CE971EF71DA, Length: 0.40, Width: 0.37, Height: 3.20, Info String: SW - 013, Wall Bounding Box: [(-25.95, -7.30, 0.20), (-25.58, -6.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: AE8508B9-BDA6-4780-89EC-95661F5E66AD, Length: 0.20, Width: 0.37, Height: 3.20, Info String: SW - 021, Wall Bounding Box: [(-21.90, -17.20, 0.20), (-21.53, -17.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: BB67BD93-3FDE-4652-AFCB-7055893B3751, Length: 37.20, Width: 0.30, Height: 3.20, Info String: SW - 010, Wall Bounding Box: [(-63.00, -17.22, 0.20), (-25.80, -16.92, 3.40)], Label Type: 1
Element Type: Wall, GUID: 3FE243E6-FC8C-4406-B8AD-2A83919A1931, Length: 0.60, Width: 0.37, Height: 3.20, Info String: SW - 013, Wall Bounding Box: [(-88.75, -19.10, 0.20), (-88.38, -18.50, 3.40)], Label Type: 1
Element Type: Wall, GUID: 8BB39E90-8C9D-4E94-826A-791AD58D8E35, Length: 8.18, Width: 0.27, Height: 0.55, Info String: SW - 092, Wall Bounding Box: [(-25.72, -17.00, 0.20), (-25.45, -8.82, 0.75)], Label Type: 0
Element Type: Wall, GUID: E91FACE2-1E71-4D3A-98E2-EC4DEB67D431, Length: 3.78, Width: 0.27, Height: 0.55, Info String: SW - 092, Wall Bounding Box: [(-25.53, -8.90, 0.20), (-21.75, -8.63, 0.75)], Label Type: 1
Element Type: Wall, GUID: 24F7436F-4762-493E-9BB5-8048C952A0A1, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-86.40, -7.10, -0.40), (-86.30, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: A7AE2DBE-E80C-4B52-8294-FCD5E5809476, Length: 1.60, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-88.00, -0.00, -0.40), (-86.40, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 61264D12-8B39-49BB-BA67-EC4D95AF4950, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-80.10, -7.10, -0.40), (-80.00, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 24FE7402-68C7-4C4D-B346-0C4A95288208, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-82.00, -0.00, -0.40), (-80.10, 0.10, 1.35)], Label Type: 1
Element Type: Wall, GUID: AE17A42B-A4E9-4446-8509-2F41894DB4E7, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-73.70, -7.10, -0.40), (-73.60, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: E0ECB178-63C0-4E75-886D-F0140DE3714D, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-75.60, -0.00, -0.40), (-73.70, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 59956B40-918E-4390-A199-6D5636D7D958, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-67.30, -7.10, -0.40), (-67.20, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: B8F1804D-E8CA-4DA9-BE73-8848F27A93BE, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-69.20, -0.00, -0.40), (-67.30, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: F09007A2-64A7-41DB-B8E1-A38DAF34C028, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-60.70, -7.10, -0.40), (-60.60, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 5B6A5BBB-87D1-4008-B618-0C73227D4C8E, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-62.60, -0.00, -0.40), (-60.70, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 97E5C353-7FF1-4E73-911A-207F2D12DE2C, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-54.60, -7.10, -0.40), (-54.50, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: D88AC297-1B79-4A79-BE4A-9CCB76473318, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-56.50, -0.00, -0.40), (-54.60, 0.10, 1.35)], Label Type: 1
Element Type: Wall, GUID: 6D0CC430-589A-46D1-B880-4CBDE8EE0234, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-48.45, -7.10, -0.40), (-48.35, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: E9E0B2BA-5FDD-427D-B705-4640419E545D, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-50.35, -0.00, -0.40), (-48.45, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 1E419716-2903-4E1A-A114-9C40D2261B1E, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-42.30, -7.10, -0.40), (-42.20, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 75D54CFA-1385-4E13-82EF-D8EA334EA006, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-44.20, -0.00, -0.40), (-42.30, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 5C0F808B-D02B-49DC-8920-982F984EA98E, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-36.15, -7.10, -0.40), (-36.05, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: BF6F4AFD-AA74-487B-B601-179F082A6E40, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-38.05, -0.00, -0.40), (-36.15, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: D2D18EB3-1941-46BE-B9A2-184AF8E868FE, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-30.00, -7.10, -0.40), (-29.90, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: ADF7A023-DA66-4B63-9BEE-48611D1F784A, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-31.90, -0.00, -0.40), (-30.00, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 926D7532-330C-4B55-97CD-486A3715F809, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-23.60, -7.10, -0.40), (-23.50, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 5020DC38-D5A2-404D-9D57-4F74723DBFA8, Length: 1.60, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-25.20, -0.00, -0.40), (-23.60, 0.10, 1.35)], Label Type: 1
Element Type: Wall, GUID: 07907123-DE28-4912-BC1B-830F75ECCEB2, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-17.30, -7.10, -0.40), (-17.20, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 26ABAFFD-6A0B-44EE-BEF1-584E9BBDD6C2, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-19.20, -0.00, -0.40), (-17.30, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 15AE7C65-C937-4CC9-8A0D-62CCC89840B9, Length: 7.10, Width: 0.10, Height: 1.75, Info String: SW - 028, Wall Bounding Box: [(-10.90, -7.10, -0.40), (-10.80, -0.00, 1.35)], Label Type: 0
Element Type: Wall, GUID: 23BCBAA9-E296-48F0-A0E5-4A69C26C1729, Length: 1.90, Width: 0.10, Height: 1.75, Info String: SW - 029, Wall Bounding Box: [(-12.80, -0.00, -0.40), (-10.90, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 1CE1409D-8AC9-4A40-B5F9-2596A51437C3, Length: 1.80, Width: 0.24, Height: 3.20, Embedded Door GUID: 8EF3D751-A091-4504-B3AE-39DF72BD7A9A, Info String: SW - 010, Wall Bounding Box: [(-69.20, -18.72, 0.20), (-67.40, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 2F0589F8-5C24-4F00-9F63-7F822F80A2E2, Length: 0.90, Width: 0.07, Height: 3.20, Info String: SW - 010, Wall Bounding Box: [(-67.40, -18.55, 0.20), (-66.50, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 04075142-FFF8-4C43-8C35-7663051D3283, Length: 2.25, Width: 0.24, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-56.20, -18.72, 0.20), (-53.95, -18.48, 3.40)], Label Type: 1
Element Type: Wall, GUID: 55FFB2CD-58BE-4633-BC35-452CC81897C7, Length: 0.70, Width: 0.07, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-56.90, -18.55, 0.20), (-56.20, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: A6369839-F06D-4BA0-A3B8-939C04A4710F, Length: 1.95, Width: 0.24, Height: 3.20, Embedded Door GUID: 21A0F971-B93A-4F5E-BAC4-208138F09519, Info String: SW - 009, Wall Bounding Box: [(-50.35, -18.72, 0.20), (-48.40, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 68948667-54E3-4B61-AB15-F8631196F213, Length: 0.70, Width: 0.07, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-51.05, -18.55, 0.20), (-50.35, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 6142CC15-8D67-45E0-8B56-D5764B32FA99, Length: 1.95, Width: 0.24, Height: 3.20, Embedded Door GUID: 5B3F75F4-F9B8-4161-BB1F-94F2FE09AFA2, Info String: SW - 009, Wall Bounding Box: [(-40.40, -18.72, 0.20), (-38.45, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 3C11DFDB-21F8-49C9-8A97-271EC3D482F4, Length: 0.70, Width: 0.07, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-38.45, -18.55, 0.20), (-37.75, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: B9119D4B-CCDC-459F-AE54-2D980FF9BBE3, Length: 0.70, Width: 0.07, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-32.60, -18.55, 0.20), (-31.90, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 963DF93C-EC3B-4D92-91AC-9ABCBDAA6A67, Length: 2.25, Width: 0.24, Height: 3.20, Info String: SW - 009, Wall Bounding Box: [(-34.85, -18.72, 0.20), (-32.60, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 45B0077A-0D6D-4B31-9CDD-7A2F6CF04A98, Length: 0.65, Width: 0.07, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-22.15, -18.55, 0.20), (-21.50, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 240CE60D-20FF-43F8-B4C7-7C8A3B400FDE, Length: 2.30, Width: 0.24, Height: 3.20, Embedded Door GUID: E34CA1A8-6571-41D3-A151-3AD1FCDFE084, Info String: SW - 008, Wall Bounding Box: [(-21.50, -18.72, 0.20), (-19.20, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 3B0E7725-0853-4291-8931-4F35C77F782E, Length: 0.70, Width: 0.14, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-84.32, -19.20, 0.20), (-84.18, -18.50, 3.40)], Label Type: 0
Element Type: Wall, GUID: 7DDA42BB-2A0E-4A8B-A5A9-7685A0FE2B63, Length: 3.75, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-10.55, -0.00, -0.40), (-6.80, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: CE579450-8CB0-47AE-ACC2-64BCE3BD9BDC, Length: 3.80, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-17.00, -0.00, -0.40), (-13.20, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 82F996F9-B26A-4F70-A4A4-6AA9410336EA, Length: 3.38, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-22.90, -0.00, -0.40), (-19.52, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: FEF7C35A-624F-4DF0-B464-2CEFF27CBD2B, Length: 3.50, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-29.70, -0.00, -0.40), (-26.20, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 390DD43D-C68B-428C-8615-A6DC54F101BA, Length: 3.55, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-35.85, -0.00, -0.40), (-32.30, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: D6E90FB3-71CB-476C-B067-8B6AC244A1F8, Length: 3.55, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-42.00, -0.00, -0.40), (-38.45, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 82A43F8D-A418-4871-B0BB-3748B2F31784, Length: 3.55, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-48.15, -0.00, -0.40), (-44.60, 0.10, 1.35)], Label Type: 1
Element Type: Wall, GUID: FA54EF86-6D63-46DA-B0C9-088D0AE765F4, Length: 3.55, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-54.30, -0.00, -0.40), (-50.75, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 8BA4F8DE-8389-48BF-A46F-207C6B510842, Length: 3.40, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-60.30, -0.00, -0.40), (-56.90, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: AB20E5D8-BE77-4BF5-8667-DF708470BBFB, Length: 3.40, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-67.00, -0.00, -0.40), (-63.60, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 50876FA7-170D-44ED-876A-F9EE98D06CF0, Length: 3.80, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-73.40, -0.00, -0.40), (-69.60, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: A98B3194-393C-4638-9797-5CD080A27690, Length: 3.80, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-79.80, -0.00, -0.40), (-76.00, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 111C1BF1-771A-4FA8-91A4-C7B47866A209, Length: 3.40, Width: 0.10, Height: 1.75, Info String: SW - 008, Wall Bounding Box: [(-85.80, -0.00, -0.40), (-82.40, 0.10, 1.35)], Label Type: 0
Element Type: Wall, GUID: 7253A9CF-0467-4013-BD01-FD95C3F4CA79, Length: 1.60, Width: 0.37, Height: 3.20, Info String: SW - 021, Wall Bounding Box: [(-21.90, -8.90, 0.20), (-21.53, -7.30, 3.40)], Label Type: 0
Element Type: Wall, GUID: 7BB09FCC-45DE-46C1-B82D-9BFE0E9C14C6, Length: 2.10, Width: 0.32, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-21.60, -9.00, 0.20), (-19.50, -8.68, 3.40)], Label Type: 0
Element Type: Wall, GUID: A4375A21-9323-4E24-A8F4-E867828E750B, Length: 5.45, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-68.45, -12.72, 0.20), (-63.00, -12.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 0DA03E31-DE84-496A-8179-1FFE42A79ECA, Length: 0.02, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-69.97, -7.32, 0.20), (-69.83, -7.30, 3.40)], Label Type: 0
Element Type: Wall, GUID: A0CCAE57-C208-4282-940B-A004F7C76B0F, Length: 0.02, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-71.55, -9.72, 0.20), (-71.53, -9.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4D38DA39-EB4F-4061-9718-92F3144F3B3E, Length: 1.70, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-71.55, -8.72, 0.20), (-69.85, -8.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: 145D47DB-70E7-427F-92A4-ADE0FCE5FE8E, Length: 5.40, Width: 0.14, Height: 3.20, Embedded Door GUID: 1796981C-4414-4F36-A565-B835FBA5E841, 3047534E-7784-4294-8148-4C4E434E0273, Info String: SW - 023, Wall Bounding Box: [(-68.57, -12.70, 0.20), (-68.43, -7.30, 3.40)], Label Type: 0
Element Type: Wall, GUID: A91D99D5-FD26-4C0B-A521-4016EA17A3E1, Length: 0.02, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-69.97, -7.32, 0.20), (-69.83, -7.30, 3.40)], Label Type: 0
Element Type: Wall, GUID: D8FA5BE5-50CB-4B1E-A167-ED3A721A8582, Length: 5.45, Width: 0.14, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-68.45, -10.12, 0.20), (-63.00, -9.98, 3.40)], Label Type: 0
Element Type: Wall, GUID: 3E0B31B4-E578-410D-8745-31F1F7DA0C60, Length: 1.70, Width: 0.24, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-71.55, -11.07, 0.20), (-69.85, -10.83, 3.40)], Label Type: 1
Element Type: Wall, GUID: A1B64159-E768-4F4C-AE3E-2DF15282296C, Length: 1.64, Width: 0.12, Height: 1.72, Info String: SW - 030, Wall Bounding Box: [(-81.94, -16.95, -0.32), (-80.30, -16.83, 1.40)], Label Type: 1
Element Type: Wall, GUID: A2306C48-9CFA-4021-8AA5-8D2CCFB55D51, Length: 1.16, Width: 0.30, Height: 0.45, Info String: SW - 029, Wall Bounding Box: [(-44.51, -7.38, 3.40), (-43.35, -7.08, 3.85)], Label Type: 0
