Element Type: DimNode 0, GUID: 1EC6ABC4-0C95-4E69-A11B-E1A33A6ED17B, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0, Length: 0.00, DimNode 0 Bounding Box: [(-88.60, -1.73, 0.00), (-88.60, -1.72, 0.00)], Position: (-88.60, -1.72), Info String: Dim Node 0
Element Type: Wall, GUID: FD716596-76BB-4F37-D058-5E81D8BCAF16, Length: 1.40, Width: 0.44, Height: 3.20, Info String: SW - 029, Wall Bounding Box: [(-72.95, -13.12, 0.20), (-71.55, -12.68, 3.40)], Label Type: 1
Element Type: Wall, GUID: 6EFA3C3E-5B76-341E-C6A6-AF58385ADE30, Length: 1.40, Width: 0.14, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-72.95, -10.62, 0.20), (-71.55, -10.48, 3.40)], Label Type: 1
Element Type: Wall, GUID: E5F018F0-59C9-0676-F9CE-075CD08BA378, Length: 2.55, Width: 0.32, Height: 3.20, Info String: SW - 006, Wall Bounding Box: [(-78.50, -9.60, 0.20), (-75.95, -9.28, 3.40)], Label Type: 1
Element Type: Wall, GUID: AB034EC8-434D-06FD-8D92-27F0F092BCBD, Length: 3.00, Width: 0.24, Height: 3.20, Embedded Door GUID: 0642EC43-5267-063E-7AE9-E011166F88E0, Info String: SW - 001, Wall Bounding Box: [(-75.95, -8.82, 0.20), (-72.95, -8.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: FEE01FF6-5F8E-73B8-FC4C-CE5DAF349BFE, Length: 1.00, Width: 0.34, Height: 3.20, Info String: SW - 003, Wall Bounding Box: [(-75.97, -9.60, 0.20), (-75.63, -8.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: D862A763-2FE2-BA64-AB37-128993EFEDF1, Length: 1.40, Width: 0.14, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-72.95, -9.22, 0.20), (-71.55, -9.08, 3.40)], Label Type: 1
Element Type: Wall, GUID: FB06F3DD-FD77-F949-5032-11680042B874, Length: 1.91, Width: 0.14, Height: 3.20, Info String: SW - 013, Wall Bounding Box: [(-76.67, -17.02, 0.20), (-75.30, -15.65, 3.40)], Label Type: 0
Element Type: Wall, GUID: 52FD1063-3B2C-2710-C9AC-BA7AD35AAFD0, Length: 1.00, Width: 0.44, Height: 3.20, Info String: SW - 003, Wall Bounding Box: [(-78.52, -9.60, 0.20), (-78.08, -8.60, 3.40)], Label Type: 1
Element Type: Wall, GUID: 09A22B7D-A91A-F488-3495-C57C17FA8814, Length: 0.80, Width: 0.07, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-72.65, -8.65, 0.20), (-71.85, -8.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: DEF5C0E9-77B3-7D7B-A8D4-21B4A45C56E2, Length: 3.20, Width: 0.14, Height: 3.20, Embedded Door GUID: 66C884C6-978B-9628-8DD1-E42D951F28A9, Info String: SW - 013, Wall Bounding Box: [(-78.52, -17.20, 0.20), (-78.38, -14.00, 3.40)], Label Type: 1
Element Type: Wall, GUID: F83C0D65-7E85-79FA-4B7B-99F2448917EE, Length: 4.40, Width: 0.07, Height: 3.20, Embedded Door GUID: 51E366B5-BBE7-2EC5-65E9-64ED6E5F22C7, 146D118F-1FFA-A9AF-9833-58F0C8E76B07, Info String: SW - 028, Wall Bounding Box: [(-78.52, -14.00, 0.20), (-78.45, -9.60, 3.40)], Label Type: 1
Element Type: Wall, GUID: AA9CAD78-4998-C288-BC1E-8C511C44DE06, Length: 2.10, Width: 0.24, Height: 3.20, Embedded Door GUID: 25F18CE5-A007-E201-2273-7540EC7F25E3, Info String: SW - 025, Wall Bounding Box: [(-80.10, -7.32, 0.20), (-78.00, -7.08, 3.40)], Label Type: 1
Element Type: Wall, GUID: B35CA73D-1884-B849-F6E2-F31BDEDE8032, Length: 0.50, Width: 0.07, Height: 3.20, Info String: SW - 025, Wall Bounding Box: [(-80.60, -7.32, 0.20), (-80.10, -7.25, 3.40)], Label Type: 0
Element Type: Wall, GUID: 7CF4A5CA-17B1-6A1D-198B-B2913EF65DEA, Length: 0.40, Width: 0.15, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-71.67, -14.00, 0.20), (-71.52, -13.60, 3.40)], Label Type: 1
Element Type: Wall, GUID: D7419EE8-3D85-ADF7-65CC-8AA0AE2097D2, Length: 0.50, Width: 0.14, Height: 3.20, Info String: SW - 071, Wall Bounding Box: [(-84.47, -7.10, 0.20), (-84.33, -6.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: 2DFB8130-4319-3C32-02A0-940DD7E045CB, Length: 0.90, Width: 0.20, Height: 3.20, Info String: SW - 023, Wall Bounding Box: [(-71.85, -15.38, 0.20), (-70.95, -15.18, 3.40)], Label Type: 0
Element Type: Wall, GUID: BC99725D-0DD0-834E-B18F-BF9DE1043B81, Length: 2.47, Width: 0.30, Height: 3.20, Info String: SW - 037, Wall Bounding Box: [(-84.60, -25.88, 0.20), (-82.13, -25.58, 3.40)], Label Type: 1
Element Type: Wall, GUID: 6CD08145-8FAD-81FA-FDBE-4EAFF664F373, Length: 3.58, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-63.12, -25.20, 0.20), (-62.98, -21.62, 3.40)], Label Type: 0
Element Type: Wall, GUID: 091C47E2-78BD-E626-F554-429C811B1974, Length: 3.40, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-88.00, -25.32, 0.20), (-84.60, -25.18, 3.40)], Label Type: 0
Element Type: Wall, GUID: E16D7F33-B8B3-02A1-1D19-AB6AB1F64015, Length: 3.25, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-82.00, -25.22, 0.20), (-78.75, -25.08, 3.40)], Label Type: 0
Element Type: Wall, GUID: 8BD5DD84-ECC5-5D6E-67A5-2750A538B2AA, Length: 3.15, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-75.60, -25.42, 0.20), (-72.45, -25.28, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4BDED45F-958C-D48C-90C0-DB6BD7EF5B5E, Length: 2.85, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-72.45, -25.22, 0.20), (-69.60, -25.08, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4F090B2B-BD0E-DD95-04F8-5CBFD1237C47, Length: 2.97, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-69.47, -26.07, 0.20), (-66.50, -25.93, 3.40)], Label Type: 0
Element Type: Wall, GUID: AADD84C4-AD76-5703-4D58-B714DC81461A, Length: 2.90, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-66.50, -25.32, 0.20), (-63.60, -25.18, 3.40)], Label Type: 0
Element Type: Wall, GUID: 163F18BD-C8A9-E815-51A5-284A007DADE2, Length: 3.58, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-63.12, -4.18, 0.20), (-62.98, -0.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: 5CB6DE67-E3D7-D78C-4600-B51CA9BA9D82, Length: 3.00, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-88.00, -0.62, 0.20), (-85.00, -0.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 24C47159-FA83-C099-6A10-2C455B8CDF0F, Length: 3.45, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-82.00, -0.72, 0.20), (-78.55, -0.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 14E1858C-7C85-2385-809D-CF02BE93B81D, Length: 3.45, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-73.05, -0.72, 0.20), (-69.60, -0.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: 43DB1A14-40B4-A4E3-BF87-94C53CE84692, Length: 2.97, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-69.47, -0.72, 0.20), (-66.50, -0.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: A0CB1813-8A13-439F-056B-B58A60F48179, Length: 2.90, Width: 0.14, Height: 3.20, Info String: SW - 031, Wall Bounding Box: [(-66.50, -0.62, 0.20), (-63.60, -0.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4D6D8471-4D48-12A8-9694-21D14ABF5042, Length: 0.78, Width: 0.34, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-71.87, -15.38, 0.20), (-71.53, -14.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: 914E6D21-C514-C3D7-F0C1-0AF84BFF5875, Length: 0.60, Width: 0.35, Height: 3.20, Info String: SW - 001, Wall Bounding Box: [(-71.87, -14.60, 0.20), (-71.52, -14.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: 9E5C7CFE-EB84-310A-93AA-2EFEFB009F52, Length: 1.20, Width: 0.15, Height: 3.20, Info String: SW - 036, Wall Bounding Box: [(-78.67, -0.00, 0.20), (-78.52, 1.20, 3.40)], Label Type: 1
Element Type: Wall, GUID: 9F870FE9-0C75-DC55-B71C-D8B121437821, Length: 1.85, Width: 0.14, Height: 3.20, Info String: SW - 013, Wall Bounding Box: [(-78.50, -15.62, 0.20), (-76.65, -15.48, 3.40)], Label Type: 1
Element Type: Wall, GUID: C93FA226-3C5B-873F-666F-4E4A85E5FECC, Length: 1.65, Width: 0.07, Height: 3.20, Info String: SW - 026, Wall Bounding Box: [(-74.30, -18.55, 0.20), (-72.65, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: 93A9FAF5-6610-23FA-D8F2-92A16ED27915, Length: 4.20, Width: 0.07, Height: 3.20, Info String: SW - 049, Wall Bounding Box: [(-80.60, -18.55, 0.20), (-76.40, -18.48, 3.40)], Label Type: 0
Element Type: Wall, GUID: E53971E3-3DFE-95B7-9AD4-85FA3720CC92, Length: 2.35, Width: 0.05, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-78.75, -18.90, 0.20), (-76.40, -18.85, 3.40)], Label Type: 0
Element Type: Wall, GUID: 18936D09-1ABE-0171-46BD-8F9033D48410, Length: 1.85, Width: 0.05, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-74.30, -18.90, 0.20), (-72.45, -18.85, 3.40)], Label Type: 0
Element Type: Wall, GUID: 394AAA49-A22A-2A9E-AABC-CE4DB3AFFB2F, Length: 1.25, Width: 0.05, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-80.00, -18.90, 0.20), (-78.75, -18.85, 3.40)], Label Type: 0
Element Type: Wall, GUID: 25B8B854-F993-F2C2-0096-993F793DE0A8, Length: 2.00, Width: 0.05, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-75.60, -6.95, 0.20), (-73.60, -6.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: 033CB4F8-9314-DA05-8DED-6847F8ADA2F2, Length: 1.60, Width: 0.05, Height: 3.20, Info String: SW - 024, Wall Bounding Box: [(-78.00, -6.95, 0.20), (-76.40, -6.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: C30F84C2-FD0F-722A-B68E-7B393CA292A9, Length: 4.40, Width: 0.07, Height: 3.20, Info String: SW - 049, Wall Bounding Box: [(-78.00, -7.32, 0.20), (-73.60, -7.25, 3.40)], Label Type: 0
Element Type: Wall, GUID: 4FDDC677-7B98-0FF9-791E-C4BDB7D47E9E, Length: 3.75, Width: 0.24, Height: 3.20, Info String: SW - 027, Wall Bounding Box: [(-78.77, -25.60, 0.20), (-78.53, -21.85, 3.40)], Label Type: 0
Element Type: Wall, GUID: 201E85A2-97B6-FE3F-08B3-00D180027EC2, Length: 0.92, Width: 0.32, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -8.46, 0.20), (-62.90, -7.54, 3.40)], Label Type: 0
Element Type: Wall, GUID: 725BF8F8-239F-2B55-CB3B-E559D853FFA6, Length: 0.92, Width: 0.32, Height: 3.20, Info String: SW - 008, Wall Bounding Box: [(-63.22, -18.26, 0.20), (-62.90, -17.34, 3.40)], Label Type: 0
Element Type: Wall, GUID: 50534CAB-5B4D-0B15-7A1A-BFE1595582F4, Length: 3.28, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-66.48, -4.20, 2.75), (-63.20, -4.18, 3.40)], Label Type: 0
Element Type: Wall, GUID: F64192E3-DABA-5BA3-7DC0-AA95FB4A9A01, Length: 3.63, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-82.18, -2.65, 2.75), (-78.55, -2.63, 3.40)], Label Type: 0
Element Type: Wall, GUID: 07E7842F-FCC0-684D-ECBE-B6DBD57CE0DA, Length: 3.18, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-67.59, -13.00, 2.78), (-67.57, -9.82, 3.40)], Label Type: 0
Element Type: Wall, GUID: 8788A126-B1E0-375F-BCC7-3925A2F2DC3F, Length: 3.32, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-81.98, 1.20, 2.78), (-78.66, 1.22, 3.40)], Label Type: 0
Element Type: Wall, GUID: E656EF43-AEB1-DAF6-9720-981D2F064F0A, Length: 3.31, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-72.93, 1.03, 2.95), (-69.62, 1.05, 3.05)], Label Type: 0
Element Type: Wall, GUID: 76C6F2D9-BB0D-F554-80D5-AAC8217281CC, Length: 2.19, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-84.60, -25.43, 2.95), (-82.41, -25.41, 3.05)], Label Type: 0
Element Type: Wall, GUID: F6BBFC2A-F4D4-A1FA-4C93-63704656F62D, Length: 4.02, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-88.60, -27.02, 2.78), (-84.58, -27.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: F3129835-48B6-3CD8-9CA0-9516DA225FC6, Length: 7.67, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-69.62, -26.85, 2.95), (-61.95, -26.83, 3.05)], Label Type: 0
Element Type: Wall, GUID: B2919DFC-557C-E7C4-AF2A-4A5338A2CE5C, Length: 5.50, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-88.62, -27.00, 2.78), (-88.60, -21.50, 3.40)], Label Type: 0
Element Type: Wall, GUID: 1C2DE6E9-881F-EAEE-D74C-5C40F5E3DE56, Length: 2.90, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-63.34, -16.10, 2.95), (-63.32, -13.20, 3.05)], Label Type: 0
Element Type: Wall, GUID: 341E04D6-3220-B6EE-6061-EB1CE14DE5A4, Length: 2.75, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-78.75, -25.43, 2.95), (-76.00, -25.41, 3.05)], Label Type: 0
Element Type: Wall, GUID: 873430F4-0035-4668-C46C-97D1754F9E30, Length: 0.39, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-86.29, -21.16, 2.75), (-86.27, -20.77, 3.40)], Label Type: 0
Element Type: Wall, GUID: 924EDBF9-67F4-22DB-D604-821C1BEAB965, Length: 3.55, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-76.00, -21.78, 2.78), (-72.45, -21.76, 3.40)], Label Type: 0
Element Type: Wall, GUID: 15C1F0D4-024A-8E77-EF3F-10C295768F54, Length: 3.80, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-88.38, -26.85, 2.95), (-84.58, -26.83, 3.05)], Label Type: 0
Element Type: Wall, GUID: DAC44BC6-6CE8-A431-D808-1534ADE03565, Length: 5.21, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-61.97, -26.83, 2.95), (-61.95, -21.62, 3.05)], Label Type: 0
Element Type: Wall, GUID: EC9E8056-E918-0430-C1C4-50DC794AE090, Length: 2.38, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-63.34, -18.48, 2.95), (-63.32, -16.10, 3.05)], Label Type: 0
Element Type: Wall, GUID: B139BED1-505B-5101-C798-5A3A4E3C03B0, Length: 3.38, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-82.13, -26.85, 2.95), (-78.75, -26.83, 3.05)], Label Type: 0
Element Type: Wall, GUID: 93B21218-6D2D-D16C-FA80-06B96CDAE1E1, Length: 2.40, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-63.34, -21.50, 2.95), (-63.32, -19.10, 3.05)], Label Type: 0
Element Type: Wall, GUID: 91B7EBDA-42F7-B22A-36DA-301645704555, Length: 2.91, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-75.58, -26.85, 2.95), (-72.67, -26.83, 3.05)], Label Type: 0
Element Type: Wall, GUID: 623D9767-DBA9-D134-2BE0-4F684F738788, Length: 1.20, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-84.72, -21.85, 2.78), (-84.70, -20.65, 3.40)], Label Type: 0
Element Type: Wall, GUID: 5FE1D234-DF0E-F402-F964-5B9F044C177C, Length: 2.11, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-88.38, -21.16, 2.75), (-86.27, -21.14, 3.40)], Label Type: 0
Element Type: Wall, GUID: 7AC14A2F-D574-F09F-83D8-571A0E14AAAF, Length: 1.18, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-66.50, -22.68, 2.78), (-66.48, -21.50, 3.40)], Label Type: 0
Element Type: Wall, GUID: 6CAADA47-018D-964C-028E-515FD7BBC112, Length: 5.33, Width: 0.02, Height: 0.45, Info String: SW - 037, Wall Bounding Box: [(-88.40, -26.83, 2.95), (-88.38, -21.50, 3.40)], Label Type: 0
Element Type: Wall, GUID: A4EAA111-EB9B-3C91-E181-8CA657BF8ACC, Length: 1.15, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-86.27, -20.77, 2.75), (-85.12, -20.75, 3.40)], Label Type: 0
Element Type: Wall, GUID: 8888E573-1BAC-F957-6665-E8DB852ABD2B, Length: 3.32, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-81.98, -27.02, 2.78), (-78.66, -27.00, 3.40)], Label Type: 0
Element Type: Wall, GUID: 9081A99F-92E4-1116-EE40-0592C6790700, Length: 2.81, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-72.43, -26.85, 2.95), (-69.62, -26.83, 3.05)], Label Type: 0
Element Type: Wall, GUID: 5695B518-7E2D-FF68-5C51-312699F87DD8, Length: 3.18, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-67.59, -15.98, 2.78), (-67.57, -12.80, 3.40)], Label Type: 0
Element Type: Wall, GUID: 8B845E58-8000-B690-18A5-AD0EAC1AADFA, Length: 2.59, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-85.00, -0.39, 2.95), (-82.41, -0.37, 3.05)], Label Type: 0
Element Type: Wall, GUID: D3184F9E-03B2-3E3F-2A4E-D5D5147323A3, Length: 3.48, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-88.60, 1.20, 2.78), (-85.12, 1.22, 3.40)], Label Type: 0
Element Type: Wall, GUID: AF0474BB-81D4-C019-2C08-50C76AFA2E5F, Length: 7.67, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-69.62, 1.03, 2.95), (-61.95, 1.05, 3.05)], Label Type: 0
Element Type: Wall, GUID: 638A57B6-D088-4344-E3A7-DA2C1E9F257B, Length: 5.50, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-88.62, -4.30, 2.78), (-88.60, 1.20, 3.40)], Label Type: 0
Element Type: Wall, GUID: 19D90496-1030-5C6D-AB18-A74BC731A539, Length: 2.90, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-63.34, -12.60, 2.95), (-63.32, -9.70, 3.05)], Label Type: 0
Element Type: Wall, GUID: C3B15FAF-D086-8DD9-B78F-CD693863EB7F, Length: 2.55, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-78.55, -0.39, 2.95), (-76.00, -0.37, 3.05)], Label Type: 0
Element Type: Wall, GUID: 454450A7-B5B6-18A8-DB7F-D466EAFC05AA, Length: 3.26, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-88.38, 1.03, 2.95), (-85.12, 1.05, 3.05)], Label Type: 0
Element Type: Wall, GUID: 82DCBCF5-ADB1-533C-2172-862893B76BCE, Length: 5.21, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-61.97, -4.18, 2.95), (-61.95, 1.03, 3.05)], Label Type: 0
Element Type: Wall, GUID: E6FB62BD-1633-50F8-7D7E-AEDBD1BDFAC3, Length: 2.38, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-63.34, -9.70, 2.95), (-63.32, -7.32, 3.05)], Label Type: 0
Element Type: Wall, GUID: 9A410AF9-1E60-476C-A808-F8D2DA630F2B, Length: 3.38, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-82.13, 1.03, 2.95), (-78.75, 1.05, 3.05)], Label Type: 0
Element Type: Wall, GUID: 18265D3A-BBE8-16C8-8348-9A41353C1C23, Length: 2.55, Width: 0.02, Height: 0.10, Info String: SW - 037, Wall Bounding Box: [(-75.60, -0.39, 2.95), (-73.05, -0.37, 3.05)], Label Type: 0
Element Type: Wall, GUID: 45AE8DB2-DD30-3332-757D-2089ABA45028, Length: 3.38, Width: 0.02, Height: 0.65, Info String: SW - 037, Wall Bounding Box: [(-88.38, -4.70, 2.75), (-85.00, -4.68, 3.40)], Label Type: 0
Element Type: Wall, GUID: DEDA58A4-BDDA-45FF-D223-03853961DB01, Length: 1.18, Width: 0.02, Height: 0.62, Info String: SW - 037, Wall Bounding Box: [(-66.50, -4.30, 2.78), (-66.48, -3.12, 3.40)], Label Type: 0
Element Type: Wall, GUID: 83192700-FDD5-BA4D-C741-A44A0E2FF5FA, Length: 5.33, Width: 0.02, Height: 0.45, Info String: SW - 037, Wall Bounding Box: [(-88.40, -4.30, 2.95), (-88.38, 1.03, 3.40)], Label Type: 0
Element Type: Wall, GUID: CF2804C8-2584-C48A-870E-9A40173D02FF, Length: 8.00, Width: 0.02, Height: 0.10, Info String: SW - 038, Wall Bounding Box: [(-19.20, -16.90, 2.80), (-19.18, -8.90, 2.90)], Label Type: 0
Element Type: Wall, GUID: 1DAC6327-BAC1-4432-9A3B-303F1BF6FD24, Length: 0.30, Width: 0.24, Height: 3.20, Info String: SW - 051, Wall Bounding Box: [(-19.50, -17.12, 0.20), (-19.20, -16.88, 3.40)], Label Type: 0
Element Type: Wall, GUID: 21754247-42DE-44B4-88D8-2D708D582B8D, Length: 0.30, Width: 0.24, Height: 3.20, Info String: SW - 050, Wall Bounding Box: [(-19.42, -17.20, 0.20), (-19.18, -16.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: E3539AEB-DB8E-412C-9E68-3FD96E8C52AA, Length: 0.30, Width: 0.24, Height: 3.20, Info String: SW - 050, Wall Bounding Box: [(-19.42, -8.90, 0.20), (-19.18, -8.60, 3.40)], Label Type: 0
Element Type: Wall, GUID: 944C60AB-69E4-49CD-8E34-2520EB847A2D, Length: 0.30, Width: 0.24, Height: 3.20, Info String: SW - 051, Wall Bounding Box: [(-19.50, -8.92, 0.20), (-19.20, -8.68, 3.40)], Label Type: 0
Element Type: Wall, GUID: 58AE8362-659B-EDC1-BE41-37AD2252B96B, Length: 1.25, Width: 0.24, Height: 3.20, Embedded Door GUID: 72CC2BAA-0B9E-0CBD-B43B-F02263BFAE8A, Info String: SW - 029, Wall Bounding Box: [(-10.35, -8.82, 0.10), (-9.10, -8.58, 3.30)], Label Type: 0
Element Type: Wall, GUID: ACAB3A61-4DCA-5C37-CDF8-46C5B04BBCE9, Length: 8.60, Width: 0.39, Height: 3.20, Info String: SW - 002, Wall Bounding Box: [(-9.12, -17.20, 0.10), (-8.73, -8.60, 3.30)], Label Type: 0
Element Type: Wall, GUID: 2EFEF22A-28ED-F013-0E61-4DD96D58CF63, Length: 3.05, Width: 0.14, Height: 3.20, Embedded Door GUID: 6826301A-3603-6365-55B4-E682E000BDB3, Info String: SW - 028, Wall Bounding Box: [(-10.42, -17.20, 0.10), (-10.28, -14.15, 3.30)], Label Type: 0
Element Type: Wall, GUID: 324676C8-BF93-8815-BE7E-75C3260B429C, Length: 1.20, Width: 0.24, Height: 3.20, Embedded Door GUID: 522E67C0-F90F-FB6F-B7C5-552238F8A1E0, Info String: SW - 029, Wall Bounding Box: [(-10.30, -17.22, 0.10), (-9.10, -16.98, 3.30)], Label Type: 0
Element Type: Wall, GUID: 0CB97826-B221-AAFF-B633-32A6BF17970A, Length: 2.25, Width: 0.07, Height: 3.20, Info String: SW - 029, Wall Bounding Box: [(-17.40, -8.65, 0.20), (-15.15, -8.58, 3.40)], Label Type: 0
Element Type: Wall, GUID: A7582EBD-CA3C-4C98-3854-05972D342AF1, Length: 7.10, Width: 0.34, Height: 3.20, Info String: SW - 002, Wall Bounding Box: [(-17.40, -17.22, 0.10), (-10.30, -16.88, 3.30)], Label Type: 0
Element Type: Wall, GUID: 82F8AEE6-ECFF-B2DB-3975-181559B963D5, Length: 2.50, Width: 0.32, Height: 3.20, Info String: SW - 051, Wall Bounding Box: [(-80.40, -16.90, 0.20), (-80.08, -14.40, 3.40)], Label Type: 0
Element Type: Wall, GUID: CF59C08F-D0A6-B543-5625-B9631370439E, Length: 1.10, Width: 0.10, Height: 3.20, Info String: SW - 017, Wall Bounding Box: [(-82.40, -10.00, 0.20), (-82.30, -8.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: 737046B3-B943-328A-3123-D5B8DE76A12F, Length: 2.00, Width: 0.32, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-82.30, -9.00, 0.20), (-80.30, -8.68, 3.40)], Label Type: 0
Element Type: Wall, GUID: FC3668D9-0371-3DCD-A6EC-9436F6B4C5BF, Length: 2.50, Width: 0.32, Height: 3.20, Info String: SW - 051, Wall Bounding Box: [(-80.40, -11.40, 0.20), (-80.08, -8.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: E739B23F-469B-562D-8AAD-C1AD9796DD67, Length: 2.25, Width: 0.37, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-84.55, -17.12, 0.20), (-82.30, -16.75, 3.40)], Label Type: 0
Element Type: Wall, GUID: E163DD61-05F8-AAC9-1254-7D4EEF3C81F2, Length: 2.25, Width: 0.37, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-84.55, -9.05, 0.20), (-82.30, -8.68, 3.40)], Label Type: 0
Element Type: Wall, GUID: 52E49842-837E-7C3C-328B-C59CE6AAE95B, Length: 1.10, Width: 0.10, Height: 3.20, Info String: SW - 017, Wall Bounding Box: [(-82.40, -16.90, 0.20), (-82.30, -15.80, 3.40)], Label Type: 0
Element Type: Wall, GUID: 40A066EF-3E0D-44DD-1339-62A1198E0770, Length: 2.10, Width: 0.10, Height: 3.20, Info String: SW - 018, Wall Bounding Box: [(-82.40, -10.00, 0.20), (-80.30, -9.90, 3.40)], Label Type: 0
Element Type: Wall, GUID: 282B1689-BC87-1431-B80C-D85E3E93A4E2, Length: 2.00, Width: 0.32, Height: 3.20, Info String: SW - 020, Wall Bounding Box: [(-82.30, -17.12, 0.20), (-80.30, -16.80, 3.40)], Label Type: 0
